省辖市代码,省份,年份,煤炭消费量 (万吨),焦炭消费量 (万吨),原油消费量 (万吨),汽油消费量 (万吨),煤油消费量 (万吨),柴油消费量 (万吨),燃料油消费量 (万吨),天然气消费量 (亿立方米),电力消费量 (亿千瓦小时)
110000000000,北京市,2025,,,,,,,,,
110000000000,北京市,2024,,,,,,,,,1389.41
110000000000,北京市,2023,,,,,,,,,1358.0
110000000000,北京市,2022,,,,,,,,,1281.0
110000000000,北京市,2021,,,,,,,,,1233.0
110000000000,北京市,2020,,,,,,,,,1140.0
110000000000,北京市,2019,182.8,,936.99,500.9,697.8,161.87,0.48,189.4,1166.0
110000000000,北京市,2018,276.19,0.01,911.78,493.6,691.03,178.78,1.54,187.88,1142.38
110000000000,北京市,2017,490.46,0.18,892.54,489.85,644.0,175.11,2.81,164.56,1066.89
110000000000,北京市,2016,847.62,0.21,821.0,470.37,594.27,172.69,4.64,162.31,1020.27
120000000000,天津市,2025,,,,,,,,,
120000000000,天津市,2024,,,,,,,,,1085.31
120000000000,天津市,2023,,,,,,,,,1051.0
120000000000,天津市,2022,,,,,,,,,991.0
120000000000,天津市,2021,,,,,,,,,982.0
120000000000,天津市,2020,,,,,,,,,875.0
120000000000,天津市,2019,3766.11,903.99,1693.35,284.46,110.58,316.92,50.0,110.61,878.0
120000000000,天津市,2018,3832.89,867.23,1688.23,273.65,108.92,326.06,46.99,104.03,855.14
120000000000,天津市,2017,3875.61,808.7,1624.85,273.47,101.5,352.32,40.68,83.31,805.59
120000000000,天津市,2016,4230.16,887.29,1433.6,274.49,82.02,370.35,45.33,74.53,807.93
130000000000,河北省,2025,,,,,,,,,
130000000000,河北省,2024,,,,,,,,,4986.67
130000000000,河北省,2023,,,,,,,,,4757.0
130000000000,河北省,2022,,,,,,,,,4344.0
130000000000,河北省,2021,,,,,,,,,4294.0
130000000000,河北省,2020,,,,,,,,,3934.0
130000000000,河北省,2019,28738.44,9371.81,2177.54,423.19,32.17,464.49,103.77,165.48,3856.0
130000000000,河北省,2018,29593.75,9341.63,1704.43,489.83,27.65,441.96,121.36,133.07,3665.66
130000000000,河北省,2017,27417.13,8040.78,1542.17,493.39,27.56,721.28,43.13,96.7,3441.74
130000000000,河北省,2016,28105.65,8079.49,1761.93,494.86,29.46,843.59,53.7,70.45,3264.52
140000000000,山西省,2025,,,,,,,,,
140000000000,山西省,2024,,,,,,,,,2971.75
140000000000,山西省,2023,,,,,,,,,2885.0
140000000000,山西省,2022,,,,,,,,,2721.0
140000000000,山西省,2021,,,,,,,,,2608.0
140000000000,山西省,2020,,,,,,,,,2342.0
140000000000,山西省,2019,51331.61,2526.53,,247.64,45.69,500.2,0.48,91.7,2262.0
140000000000,山西省,2018,48940.14,2385.72,,235.24,36.26,489.26,0.54,75.21,2160.53
140000000000,山西省,2017,42942.29,1958.74,,257.71,32.29,560.46,0.47,74.9,1990.61
140000000000,山西省,2016,35621.03,2198.1,,228.29,26.96,536.11,0.6,69.35,1797.18
150000000000,内蒙古自治区,2025,,,,,,,,,
150000000000,内蒙古自治区,2024,,,,,,,,,5193.41
150000000000,内蒙古自治区,2023,,,,,,,,,4823.0
150000000000,内蒙古自治区,2022,,,,,,,,,4291.0
150000000000,内蒙古自治区,2021,,,,,,,,,3957.0
150000000000,内蒙古自治区,2020,,,,,,,,,3900.0
150000000000,内蒙古自治区,2019,49035.95,2378.28,428.71,367.7,50.03,451.65,1.25,64.18,3653.0
150000000000,内蒙古自治区,2018,44138.47,2125.06,362.35,352.99,46.85,430.53,2.54,61.97,3353.44
150000000000,内蒙古自治区,2017,38595.52,1669.24,452.25,357.05,42.87,439.2,3.74,52.04,2891.87
150000000000,内蒙古自治区,2016,36675.32,1635.4,419.55,353.24,34.96,426.62,3.27,45.06,2605.03
210000000000,辽宁省,2025,,,,,,,,,
210000000000,辽宁省,2024,,,,,,,,,2733.68
210000000000,辽宁省,2023,,,,,,,,,2663.0
210000000000,辽宁省,2022,,,,,,,,,2551.0
210000000000,辽宁省,2021,,,,,,,,,2576.0
210000000000,辽宁省,2020,,,,,,,,,2423.0
210000000000,辽宁省,2019,18710.78,3348.65,9894.5,880.13,52.78,1044.87,221.12,75.01,2401.0
210000000000,辽宁省,2018,17904.4,3279.64,8202.5,856.85,51.48,1040.93,216.88,73.16,2302.38
210000000000,辽宁省,2017,17587.17,3089.27,7133.87,792.1,44.37,1032.56,304.99,62.05,2135.5
210000000000,辽宁省,2016,16943.7,2993.06,7057.0,786.21,38.99,1008.72,305.07,50.63,2037.4
220000000000,吉林省,2025,,,,,,,,,
220000000000,吉林省,2024,,,,,,,,,950.1
220000000000,吉林省,2023,,,,,,,,,928.0
220000000000,吉林省,2022,,,,,,,,,852.0
220000000000,吉林省,2021,,,,,,,,,843.0
220000000000,吉林省,2020,,,,,,,,,805.0
220000000000,吉林省,2019,8730.65,662.31,1035.48,182.71,33.68,346.18,28.15,30.17,780.0
220000000000,吉林省,2018,8553.18,592.83,935.8,204.68,32.58,364.61,25.79,29.71,750.57
220000000000,吉林省,2017,9354.54,476.06,1027.9,205.94,17.41,359.75,37.86,24.74,702.98
220000000000,吉林省,2016,9416.84,477.6,1051.29,178.68,20.41,343.73,38.05,21.51,667.63
230000000000,黑龙江省,2025,,,,,,,,,
230000000000,黑龙江省,2024,,,,,,,,,1208.44
230000000000,黑龙江省,2023,,,,,,,,,1184.0
230000000000,黑龙江省,2022,,,,,,,,,1139.0
230000000000,黑龙江省,2021,,,,,,,,,1089.0
230000000000,黑龙江省,2020,,,,,,,,,1014.0
230000000000,黑龙江省,2019,14142.64,373.82,1534.76,430.27,69.77,392.18,20.95,44.37,996.0
230000000000,黑龙江省,2018,13370.83,327.74,1552.63,393.15,64.01,353.08,43.11,43.84,973.88
230000000000,黑龙江省,2017,14468.99,214.76,1905.4,378.5,87.55,330.55,71.65,40.56,928.57
230000000000,黑龙江省,2016,14034.39,184.19,2210.42,316.18,78.56,330.34,94.37,38.04,896.62
310000000000,上海市,2025,,,,,,,,,
310000000000,上海市,2024,,,,,,,,,1984.15
310000000000,上海市,2023,,,,,,,,,1849.0
310000000000,上海市,2022,,,,,,,,,1746.0
310000000000,上海市,2021,,,,,,,,,1750.0
310000000000,上海市,2020,,,,,,,,,1576.0
310000000000,上海市,2019,4238.28,634.82,2597.22,493.87,753.68,449.3,658.32,99.4,1569.0
310000000000,上海市,2018,4420.62,621.28,2309.12,494.01,701.64,439.49,658.22,93.49,1566.66
310000000000,上海市,2017,4577.84,592.31,2492.77,662.63,652.3,550.38,672.44,83.23,1526.77
310000000000,上海市,2016,4625.62,596.95,2474.23,637.85,585.82,562.2,581.46,79.04,1486.02
320000000000,江苏省,2025,,,,,,,,,
320000000000,江苏省,2024,,,,,,,,,8486.93
320000000000,江苏省,2023,,,,,,,,,7833.0
320000000000,江苏省,2022,,,,,,,,,7400.0
320000000000,江苏省,2021,,,,,,,,,7101.0
320000000000,江苏省,2020,,,,,,,,,6374.0
320000000000,江苏省,2019,24902.05,4953.14,4121.21,1085.87,132.85,887.19,159.03,288.06,6264.0
320000000000,江苏省,2018,25407.28,4052.63,4067.87,1073.12,113.23,881.47,247.11,276.21,6128.27
320000000000,江苏省,2017,26620.03,4070.64,3866.06,1047.25,105.37,862.43,246.02,237.69,5807.89
320000000000,江苏省,2016,28048.13,3840.21,4092.04,1012.31,90.58,821.31,151.6,172.73,5458.95
330000000000,浙江省,2025,,,,,,,,,
330000000000,浙江省,2024,,,,,,,,,6779.85
330000000000,浙江省,2023,,,,,,,,,6192.0
330000000000,浙江省,2022,,,,,,,,,5799.0
330000000000,浙江省,2021,,,,,,,,,5514.0
330000000000,浙江省,2020,,,,,,,,,4830.0
330000000000,浙江省,2019,13676.9,302.02,3472.3,789.2,176.37,730.48,303.79,147.2,4706.0
330000000000,浙江省,2018,14180.08,323.05,2769.88,862.2,163.65,761.97,304.08,134.91,4532.82
330000000000,浙江省,2017,14262.04,320.17,3038.65,858.97,147.81,831.97,398.32,104.93,4192.63
330000000000,浙江省,2016,13948.49,329.47,2667.35,796.92,127.4,881.91,381.29,87.78,3873.19
340000000000,安徽省,2025,,,,,,,,,
340000000000,安徽省,2024,,,,,,,,,3597.86
340000000000,安徽省,2023,,,,,,,,,3214.0
340000000000,安徽省,2022,,,,,,,,,2993.0
340000000000,安徽省,2021,,,,,,,,,2715.0
340000000000,安徽省,2020,,,,,,,,,2428.0
340000000000,安徽省,2019,16699.74,1161.43,658.92,655.95,16.59,689.1,21.49,59.64,2301.0
340000000000,安徽省,2018,16673.06,1104.44,728.34,626.42,15.48,653.4,22.14,53.01,2135.07
340000000000,安徽省,2017,16084.62,1048.94,751.59,574.66,15.53,631.56,22.81,44.37,1921.48
340000000000,安徽省,2016,15728.68,1164.64,539.21,509.87,15.98,622.69,21.21,39.18,1794.98
350000000000,福建省,2025,,,,,,,,,
350000000000,福建省,2024,,,,,,,,,3331.16
350000000000,福建省,2023,,,,,,,,,3090.0
350000000000,福建省,2022,,,,,,,,,2900.0
350000000000,福建省,2021,,,,,,,,,2837.0
350000000000,福建省,2020,,,,,,,,,2483.0
350000000000,福建省,2019,8718.32,871.35,2559.36,562.43,171.78,453.58,180.18,52.77,2402.0
350000000000,福建省,2018,8558.85,781.86,2144.17,547.86,165.3,438.9,176.13,51.92,2313.82
350000000000,福建省,2017,7542.95,660.1,2083.69,531.87,140.86,433.74,147.02,50.16,2112.72
350000000000,福建省,2016,6826.5,608.65,2089.38,494.76,124.22,429.53,178.23,48.55,1968.58
360000000000,江西省,2025,,,,,,,,,
360000000000,江西省,2024,,,,,,,,,2180.47
360000000000,江西省,2023,,,,,,,,,2026.0
360000000000,江西省,2022,,,,,,,,,1983.0
360000000000,江西省,2021,,,,,,,,,1863.0
360000000000,江西省,2020,,,,,,,,,1627.0
360000000000,江西省,2019,7995.94,939.44,787.96,405.37,19.32,598.82,12.25,26.96,1536.0
360000000000,江西省,2018,7877.77,918.13,768.0,374.5,17.93,588.21,11.74,25.93,1428.77
360000000000,江西省,2017,7761.3,862.33,699.38,331.09,2.82,567.6,11.95,21.73,1293.98
360000000000,江西省,2016,7617.59,839.82,725.75,294.63,2.48,546.71,15.05,20.04,1182.5
370000000000,山东省,2025,,,,,,,,,
370000000000,山东省,2024,,,,,,,,,8319.72
370000000000,山东省,2023,,,,,,,,,7966.0
370000000000,山东省,2022,,,,,,,,,7559.0
370000000000,山东省,2021,,,,,,,,,7383.0
370000000000,山东省,2020,,,,,,,,,6940.0
370000000000,山东省,2019,43132.99,3619.44,13632.1,707.02,125.92,1335.92,2096.32,189.98,6219.0
370000000000,山东省,2018,42319.48,3509.52,13035.48,690.08,120.27,1273.74,2376.4,156.33,6083.87
370000000000,山东省,2017,38164.71,3392.38,11487.18,809.13,123.56,1544.47,4686.43,131.06,5430.16
370000000000,山东省,2016,40939.2,3718.36,10203.42,739.35,115.23,1368.78,4511.42,98.61,5390.75
410000000000,河南省,2025,,,,,,,,,
410000000000,河南省,2024,,,,,,,,,4319.94
410000000000,河南省,2023,,,,,,,,,4090.0
410000000000,河南省,2022,,,,,,,,,3908.0
410000000000,河南省,2021,,,,,,,,,3647.0
410000000000,河南省,2020,,,,,,,,,3392.0
410000000000,河南省,2019,20045.45,1431.96,799.61,769.77,92.65,1007.54,9.77,109.34,3364.0
410000000000,河南省,2018,22332.79,1423.42,828.75,761.76,81.89,993.8,31.68,106.31,3417.68
410000000000,河南省,2017,22669.39,2235.72,658.44,679.19,72.36,927.13,28.14,104.07,3166.17
410000000000,河南省,2016,23226.52,3045.9,707.28,700.29,74.0,808.01,68.67,92.75,2989.15
420000000000,湖北省,2025,,,,,,,,,
420000000000,湖北省,2024,,,,,,,,,2943.76
420000000000,湖北省,2023,,,,,,,,,2706.0
420000000000,湖北省,2022,,,,,,,,,2648.0
420000000000,湖北省,2021,,,,,,,,,2472.0
420000000000,湖北省,2020,,,,,,,,,2144.0
420000000000,湖北省,2019,11768.33,1115.52,1516.49,864.59,128.47,976.32,148.83,68.46,2214.0
420000000000,湖北省,2018,11100.11,1131.7,1420.68,784.54,116.26,895.35,129.43,62.7,2071.43
420000000000,湖北省,2017,11776.96,1062.32,1428.91,749.18,97.61,868.27,130.15,49.96,1869.0
420000000000,湖北省,2016,11685.88,1095.31,1239.61,743.19,94.64,865.85,136.12,41.5,1763.11
430000000000,湖南省,2025,,,,,,,,,
430000000000,湖南省,2024,,,,,,,,,2373.96
430000000000,湖南省,2023,,,,,,,,,2277.0
430000000000,湖南省,2022,,,,,,,,,2236.0
430000000000,湖南省,2021,,,,,,,,,2155.0
430000000000,湖南省,2020,,,,,,,,,1929.0
430000000000,湖南省,2019,10664.02,982.53,935.12,819.89,65.03,672.61,83.05,32.9,1864.0
430000000000,湖南省,2018,10922.31,970.67,949.7,718.92,63.17,649.29,90.44,30.47,1745.24
430000000000,湖南省,2017,12404.56,947.57,770.13,642.03,60.76,636.15,93.59,26.98,1581.51
430000000000,湖南省,2016,11443.53,960.5,841.6,575.76,55.44,712.97,94.05,28.32,1495.65
440000000000,广东省,2025,,,,,,,,,
440000000000,广东省,2024,,,,,,,,,9121.03
440000000000,广东省,2023,,,,,,,,,8502.0
440000000000,广东省,2022,,,,,,,,,7870.0
440000000000,广东省,2021,,,,,,,,,7867.0
440000000000,广东省,2020,,,,,,,,,6926.0
440000000000,广东省,2019,16833.87,985.06,5632.08,1561.02,313.11,1672.22,346.25,206.18,6696.0
440000000000,广东省,2018,17067.51,933.17,5920.91,1555.09,306.49,1672.51,333.77,190.64,6323.35
440000000000,广东省,2017,17172.1,940.96,5209.32,1529.91,299.89,1668.45,348.52,182.38,5958.97
440000000000,广东省,2016,16135.29,782.54,5044.45,1502.44,292.17,1676.09,456.88,167.79,5610.13
450000000000,广西壮族自治区,2025,,,,,,,,,
450000000000,广西壮族自治区,2024,,,,,,,,,2563.47
450000000000,广西壮族自治区,2023,,,,,,,,,2448.02
450000000000,广西壮族自治区,2022,,,,,,,,,2217.0
450000000000,广西壮族自治区,2021,,,,,,,,,2238.0
450000000000,广西壮族自治区,2020,,,,,,,,,2029.0
450000000000,广西壮族自治区,2019,8021.91,1079.35,1637.82,256.68,46.36,487.19,17.99,27.86,1907.0
450000000000,广西壮族自治区,2018,7339.78,1023.08,1599.33,334.15,52.2,486.67,16.28,22.68,1703.04
450000000000,广西壮族自治区,2017,6613.32,1204.12,1563.03,392.29,50.95,562.26,10.45,14.03,1444.95
450000000000,广西壮族自治区,2016,6517.77,1120.96,1340.43,379.03,62.51,538.43,10.54,12.89,1359.65
460000000000,海南省,2025,,,,,,,,,
460000000000,海南省,2024,,,,,,,,,518.93
460000000000,海南省,2023,,,,,,,,,482.0
460000000000,海南省,2022,,,,,,,,,415.0
460000000000,海南省,2021,,,,,,,,,405.0
460000000000,海南省,2020,,,,,,,,,363.0
460000000000,海南省,2019,1130.39,0.03,1138.16,107.6,131.04,87.76,6.25,46.15,355.0
460000000000,海南省,2018,1162.67,0.03,1060.85,107.58,128.16,90.04,6.01,44.27,326.78
460000000000,海南省,2017,1099.34,0.02,979.99,110.16,114.68,110.22,22.43,43.45,304.95
460000000000,海南省,2016,1015.31,,1118.66,102.18,105.76,108.26,21.02,41.29,287.31
500000000000,重庆市,2025,,,,,,,,,
500000000000,重庆市,2024,,,,,,,,,1611.98
500000000000,重庆市,2023,,,,,,,,,1453.0
500000000000,重庆市,2022,,,,,,,,,1404.0
500000000000,重庆市,2021,,,,,,,,,1341.0
500000000000,重庆市,2020,,,,,,,,,1186.0
500000000000,重庆市,2019,5022.94,306.43,,400.08,102.14,407.02,18.42,103.51,1160.0
500000000000,重庆市,2018,5129.52,266.86,,358.96,94.93,411.42,16.18,99.5,1118.79
500000000000,重庆市,2017,5646.68,362.28,,232.65,83.44,542.31,14.25,95.24,996.55
500000000000,重庆市,2016,5674.37,384.31,,219.05,80.97,514.22,13.91,89.32,924.89
510000000000,四川省,2025,,,,,,,,,
510000000000,四川省,2024,,,,,,,,,4017.71
510000000000,四川省,2023,,,,,,,,,3711.0
510000000000,四川省,2022,,,,,,,,,3447.0
510000000000,四川省,2021,,,,,,,,,3275.0
510000000000,四川省,2020,,,,,,,,,2865.0
510000000000,四川省,2019,7713.47,1302.68,1010.17,916.97,214.2,912.92,50.06,254.38,2636.0
510000000000,四川省,2018,7495.78,1165.88,719.82,874.13,209.47,902.12,33.33,237.0,2459.49
510000000000,四川省,2017,7855.88,1643.7,956.37,968.07,315.23,817.36,159.77,198.91,2205.18
510000000000,四川省,2016,8869.49,1636.36,902.77,940.07,308.81,800.93,155.44,181.57,2101.02
520000000000,贵州省,2025,,,,,,,,,
520000000000,贵州省,2024,,,,,,,,,1901.85
520000000000,贵州省,2023,,,,,,,,,1781.95
520000000000,贵州省,2022,,,,,,,,,1743.0
520000000000,贵州省,2021,,,,,,,,,1743.0
520000000000,贵州省,2020,,,,,,,,,1586.0
520000000000,贵州省,2019,12204.17,223.81,,465.68,59.12,583.44,0.16,36.76,1541.0
520000000000,贵州省,2018,12008.04,209.54,,437.87,56.68,571.07,0.4,30.82,1482.12
520000000000,贵州省,2017,13409.76,214.9,,380.41,48.57,480.92,0.32,17.73,1384.89
520000000000,贵州省,2016,13642.75,253.42,0.02,343.65,38.64,490.8,0.52,17.11,1241.78
530000000000,云南省,2025,,,,,,,,,
530000000000,云南省,2024,,,,,,,,,2791.74
530000000000,云南省,2023,,,,,,,,,2512.46
530000000000,云南省,2022,,,,,,,,,2390.0
530000000000,云南省,2021,,,,,,,,,2139.0
530000000000,云南省,2020,,,,,,,,,2025.0
530000000000,云南省,2019,7532.73,1120.29,1086.58,467.34,127.65,673.37,0.23,16.47,1812.0
530000000000,云南省,2018,7402.33,1064.75,1010.03,426.64,122.56,628.65,1.77,13.0,1679.08
530000000000,云南省,2017,7211.26,951.31,401.96,344.74,113.82,607.53,0.57,9.69,1538.1
530000000000,云南省,2016,7461.18,912.09,0.04,340.03,102.96,601.52,1.11,7.71,1410.52
540000000000,西藏自治区,2025,,,,,,,,,
540000000000,西藏自治区,2024,,,,,,,,,154.17
540000000000,西藏自治区,2023,,,,,,,,,135.0
540000000000,西藏自治区,2022,,,,,,,,,119.0
540000000000,西藏自治区,2021,,,,,,,,,101.0
540000000000,西藏自治区,2020,,,,,,,,,82.0
540000000000,西藏自治区,2019,,,,,,,,,78.0
540000000000,西藏自治区,2018,,,,,,,,,69.02
540000000000,西藏自治区,2017,,,,,,,,,58.19
540000000000,西藏自治区,2016,,,,,,,,,49.22
610000000000,陕西省,2025,,,,,,,,,
610000000000,陕西省,2024,,,,,,,,,2600.15
610000000000,陕西省,2023,,,,,,,,,2450.0
610000000000,陕西省,2022,,,,,,,,,2372.0
610000000000,陕西省,2021,,,,,,,,,2217.0
610000000000,陕西省,2020,,,,,,,,,1741.0
610000000000,陕西省,2019,21548.81,750.78,1837.74,305.88,91.12,377.11,8.51,112.86,1912.0
610000000000,陕西省,2018,19395.89,769.12,1864.17,298.34,77.96,400.54,28.09,105.52,1594.17
610000000000,陕西省,2017,20069.6,829.6,1853.57,277.42,50.0,373.81,19.46,103.9,1494.75
610000000000,陕西省,2016,19670.75,840.46,1823.86,257.31,30.03,409.63,12.35,98.22,1357.06
620000000000,甘肃省,2025,,,,,,,,,
620000000000,甘肃省,2024,,,,,,,,,1746.32
620000000000,甘肃省,2023,,,,,,,,,1645.0
620000000000,甘肃省,2022,,,,,,,,,1501.0
620000000000,甘肃省,2021,,,,,,,,,1495.0
620000000000,甘肃省,2020,,,,,,,,,1376.0
620000000000,甘肃省,2019,6810.16,525.68,1479.96,208.78,10.49,281.82,3.47,32.93,1288.0
620000000000,甘肃省,2018,6819.03,476.83,1453.98,202.48,9.8,289.55,3.84,31.17,1289.52
620000000000,甘肃省,2017,6360.81,505.34,1460.11,209.28,8.02,299.46,2.87,28.91,1164.37
620000000000,甘肃省,2016,6377.52,548.64,1367.29,199.3,8.06,307.01,3.33,26.4,1065.15
630000000000,青海省,2025,,,,,,,,,
630000000000,青海省,2024,,,,,,,,,1053.51
630000000000,青海省,2023,,,,,,,,,1018.0
630000000000,青海省,2022,,,,,,,,,922.0
630000000000,青海省,2021,,,,,,,,,858.0
630000000000,青海省,2020,,,,,,,,,742.0
630000000000,青海省,2019,1541.92,236.06,156.45,66.78,0.02,169.08,0.2,52.12,716.0
630000000000,青海省,2018,1639.64,233.12,142.51,62.08,0.02,159.36,0.18,51.25,738.34
630000000000,青海省,2017,1747.01,219.0,152.53,60.05,0.02,152.26,0.22,49.56,687.01
630000000000,青海省,2016,1962.43,228.44,149.45,56.0,0.01,128.92,0.1,46.25,637.51
