省辖市代码,省份,年份,年末常住人口 (万人),城镇人口 (万人),乡村人口 (万人)
110000000000,北京市,2025,,,
110000000000,北京市,2024,2183.0,1926.0,257.0
110000000000,北京市,2023,2186.0,1920.0,266.0
110000000000,北京市,2022,2184.0,1913.0,271.0
110000000000,北京市,2021,2189.0,1916.0,273.0
110000000000,北京市,2020,2189.0,1916.0,273.0
110000000000,北京市,2019,2190.0,1913.0,277.0
110000000000,北京市,2018,2192.0,1909.0,283.0
110000000000,北京市,2017,2194.0,1907.0,287.0
110000000000,北京市,2016,2195.0,1904.0,291.0
120000000000,天津市,2025,,,
120000000000,天津市,2024,1364.0,1173.0,191.0
120000000000,天津市,2023,1364.0,1166.0,198.0
120000000000,天津市,2022,1363.0,1160.0,203.0
120000000000,天津市,2021,1373.0,1165.0,208.0
120000000000,天津市,2020,1387.0,1175.0,212.0
120000000000,天津市,2019,1385.0,1168.0,217.0
120000000000,天津市,2018,1383.0,1161.0,222.0
120000000000,天津市,2017,1410.0,1178.0,232.0
120000000000,天津市,2016,1443.0,1202.0,241.0
130000000000,河北省,2025,,,
130000000000,河北省,2024,7378.0,4679.0,2699.0
130000000000,河北省,2023,7393.0,4641.0,2752.0
130000000000,河北省,2022,7420.0,4575.0,2845.0
130000000000,河北省,2021,7448.0,4554.0,2894.0
130000000000,河北省,2020,7464.0,4484.0,2980.0
130000000000,河北省,2019,7447.0,4377.0,3070.0
130000000000,河北省,2018,7426.0,4257.0,3169.0
130000000000,河北省,2017,7409.0,4130.0,3279.0
130000000000,河北省,2016,7375.0,3973.0,3402.0
140000000000,山西省,2025,,,
140000000000,山西省,2024,3446.0,2285.0,1161.0
140000000000,山西省,2023,3466.0,2252.0,1214.0
140000000000,山西省,2022,3481.0,2226.0,1255.0
140000000000,山西省,2021,3480.0,2207.0,1273.0
140000000000,山西省,2020,3490.0,2182.0,1308.0
140000000000,山西省,2019,3497.0,2143.0,1354.0
140000000000,山西省,2018,3502.0,2096.0,1406.0
140000000000,山西省,2017,3510.0,2057.0,1453.0
140000000000,山西省,2016,3514.0,2012.0,1502.0
150000000000,内蒙古自治区,2025,,,
150000000000,内蒙古自治区,2024,2388.0,1689.0,699.0
150000000000,内蒙古自治区,2023,2396.0,1667.0,729.0
150000000000,内蒙古自治区,2022,2401.0,1647.0,754.0
150000000000,内蒙古自治区,2021,2400.0,1637.0,763.0
150000000000,内蒙古自治区,2020,2403.0,1622.0,781.0
150000000000,内蒙古自治区,2019,2415.0,1605.0,810.0
150000000000,内蒙古自治区,2018,2422.0,1587.0,835.0
150000000000,内蒙古自治区,2017,2433.0,1572.0,861.0
150000000000,内蒙古自治区,2016,2436.0,1544.0,892.0
210000000000,辽宁省,2025,,,
210000000000,辽宁省,2024,4155.0,3082.0,1073.0
210000000000,辽宁省,2023,4182.0,3074.0,1108.0
210000000000,辽宁省,2022,4197.0,3064.0,1133.0
210000000000,辽宁省,2021,4229.0,3079.0,1150.0
210000000000,辽宁省,2020,4255.0,3070.0,1185.0
210000000000,辽宁省,2019,4277.0,3046.0,1231.0
210000000000,辽宁省,2018,4291.0,3015.0,1276.0
210000000000,辽宁省,2017,4312.0,2996.0,1316.0
210000000000,辽宁省,2016,4327.0,2980.0,1347.0
220000000000,吉林省,2025,,,
220000000000,吉林省,2024,2317.0,1524.0,793.0
220000000000,吉林省,2023,2339.0,1514.0,825.0
220000000000,吉林省,2022,2348.0,1496.0,852.0
220000000000,吉林省,2021,2375.0,1505.0,870.0
220000000000,吉林省,2020,2399.0,1503.0,896.0
220000000000,吉林省,2019,2448.0,1509.0,939.0
220000000000,吉林省,2018,2484.0,1512.0,972.0
220000000000,吉林省,2017,2526.0,1508.0,1018.0
220000000000,吉林省,2016,2567.0,1508.0,1059.0
230000000000,黑龙江省,2025,,,
230000000000,黑龙江省,2024,3029.0,2061.0,968.0
230000000000,黑龙江省,2023,3062.0,2055.0,1007.0
230000000000,黑龙江省,2022,3099.0,2052.0,1047.0
230000000000,黑龙江省,2021,3125.0,2053.0,1072.0
230000000000,黑龙江省,2020,3171.0,2080.0,1091.0
230000000000,黑龙江省,2019,3255.0,2103.0,1152.0
230000000000,黑龙江省,2018,3327.0,2111.0,1216.0
230000000000,黑龙江省,2017,3399.0,2104.0,1295.0
230000000000,黑龙江省,2016,3463.0,2116.0,1347.0
310000000000,上海市,2025,,,
310000000000,上海市,2024,2480.0,2228.0,252.0
310000000000,上海市,2023,2487.0,2225.0,262.0
310000000000,上海市,2022,2475.0,2211.0,264.0
310000000000,上海市,2021,2489.0,2223.0,266.0
310000000000,上海市,2020,2488.0,2222.0,266.0
310000000000,上海市,2019,2481.0,2214.0,267.0
310000000000,上海市,2018,2475.0,2206.0,269.0
310000000000,上海市,2017,2466.0,2197.0,269.0
310000000000,上海市,2016,2467.0,2196.0,271.0
320000000000,江苏省,2025,,,
320000000000,江苏省,2024,8526.0,6440.0,2086.0
320000000000,江苏省,2023,8526.0,6398.0,2128.0
320000000000,江苏省,2022,8515.0,6337.0,2178.0
320000000000,江苏省,2021,8505.0,6289.0,2216.0
320000000000,江苏省,2020,8477.0,6226.0,2251.0
320000000000,江苏省,2019,8469.0,6137.0,2332.0
320000000000,江苏省,2018,8446.0,6013.0,2433.0
320000000000,江苏省,2017,8423.0,5911.0,2512.0
320000000000,江苏省,2016,8381.0,5777.0,2604.0
330000000000,浙江省,2025,,,
330000000000,浙江省,2024,6670.0,5033.0,1637.0
330000000000,浙江省,2023,6627.0,4919.0,1708.0
330000000000,浙江省,2022,6577.0,4826.0,1751.0
330000000000,浙江省,2021,6540.0,4752.0,1788.0
330000000000,浙江省,2020,6468.0,4668.0,1800.0
330000000000,浙江省,2019,6375.0,4563.0,1812.0
330000000000,浙江省,2018,6273.0,4392.0,1881.0
330000000000,浙江省,2017,6170.0,4252.0,1918.0
330000000000,浙江省,2016,6072.0,4112.0,1960.0
340000000000,安徽省,2025,,,
340000000000,安徽省,2024,6123.0,3831.0,2292.0
340000000000,安徽省,2023,6121.0,3765.0,2356.0
340000000000,安徽省,2022,6127.0,3686.0,2441.0
340000000000,安徽省,2021,6113.0,3631.0,2482.0
340000000000,安徽省,2020,6105.0,3561.0,2544.0
340000000000,安徽省,2019,6092.0,3474.0,2618.0
340000000000,安徽省,2018,6076.0,3381.0,2695.0
340000000000,安徽省,2017,6057.0,3288.0,2769.0
340000000000,安徽省,2016,6033.0,3175.0,2858.0
350000000000,福建省,2025,,,
350000000000,福建省,2024,4193.0,3011.0,1182.0
350000000000,福建省,2023,4183.0,2972.0,1211.0
350000000000,福建省,2022,4188.0,2937.0,1251.0
350000000000,福建省,2021,4187.0,2918.0,1269.0
350000000000,福建省,2020,4161.0,2861.0,1300.0
350000000000,福建省,2019,4137.0,2808.0,1329.0
350000000000,福建省,2018,4104.0,2749.0,1355.0
350000000000,福建省,2017,4065.0,2674.0,1391.0
350000000000,福建省,2016,4016.0,2586.0,1430.0
360000000000,江西省,2025,,,
360000000000,江西省,2024,4502.0,2871.0,1631.0
360000000000,江西省,2023,4515.0,2850.0,1665.0
360000000000,江西省,2022,4528.0,2811.0,1717.0
360000000000,江西省,2021,4517.0,2776.0,1741.0
360000000000,江西省,2020,4519.0,2731.0,1788.0
360000000000,江西省,2019,4516.0,2668.0,1848.0
360000000000,江西省,2018,4513.0,2588.0,1925.0
360000000000,江西省,2017,4511.0,2513.0,1998.0
360000000000,江西省,2016,4496.0,2427.0,2069.0
370000000000,山东省,2025,,,
370000000000,山东省,2024,10080.0,6701.0,3379.0
370000000000,山东省,2023,10123.0,6634.0,3489.0
370000000000,山东省,2022,10163.0,6559.0,3604.0
370000000000,山东省,2021,10170.0,6503.0,3667.0
370000000000,山东省,2020,10165.0,6409.0,3756.0
370000000000,山东省,2019,10106.0,6252.0,3854.0
370000000000,山东省,2018,10077.0,6193.0,3884.0
370000000000,山东省,2017,10033.0,6099.0,3934.0
370000000000,山东省,2016,9973.0,5897.0,4076.0
410000000000,河南省,2025,,,
410000000000,河南省,2024,9785.0,5795.0,3990.0
410000000000,河南省,2023,9815.0,5701.0,4114.0
410000000000,河南省,2022,9872.0,5633.0,4239.0
410000000000,河南省,2021,9883.0,5579.0,4304.0
410000000000,河南省,2020,9941.0,5510.0,4431.0
410000000000,河南省,2019,9901.0,5348.0,4553.0
410000000000,河南省,2018,9864.0,5153.0,4711.0
410000000000,河南省,2017,9829.0,4970.0,4859.0
410000000000,河南省,2016,9778.0,4770.0,5008.0
420000000000,湖北省,2025,,,
420000000000,湖北省,2024,5834.0,3871.0,1963.0
420000000000,湖北省,2023,5838.0,3822.0,2016.0
420000000000,湖北省,2022,5844.0,3779.0,2065.0
420000000000,湖北省,2021,5830.0,3736.0,2094.0
420000000000,湖北省,2020,5745.0,3613.0,2132.0
420000000000,湖北省,2019,5927.0,3665.0,2262.0
420000000000,湖北省,2018,5917.0,3609.0,2308.0
420000000000,湖北省,2017,5904.0,3535.0,2369.0
420000000000,湖北省,2016,5885.0,3447.0,2438.0
430000000000,湖南省,2025,,,
430000000000,湖南省,2024,6539.0,4059.0,2480.0
430000000000,湖南省,2023,6568.0,4017.0,2551.0
430000000000,湖南省,2022,6604.0,3983.0,2621.0
430000000000,湖南省,2021,6622.0,3954.0,2668.0
430000000000,湖南省,2020,6645.0,3905.0,2740.0
430000000000,湖南省,2019,6640.0,3815.0,2825.0
430000000000,湖南省,2018,6635.0,3722.0,2913.0
430000000000,湖南省,2017,6633.0,3623.0,3010.0
430000000000,湖南省,2016,6625.0,3491.0,3134.0
440000000000,广东省,2025,,,
440000000000,广东省,2024,12780.0,9701.0,3079.0
440000000000,广东省,2023,12706.0,9583.0,3123.0
440000000000,广东省,2022,12657.0,9465.0,3192.0
440000000000,广东省,2021,12684.0,9466.0,3218.0
440000000000,广东省,2020,12624.0,9361.0,3263.0
440000000000,广东省,2019,12489.0,9073.0,3416.0
440000000000,广东省,2018,12348.0,8867.0,3481.0
440000000000,广东省,2017,12141.0,8589.0,3552.0
440000000000,广东省,2016,11908.0,8353.0,3555.0
450000000000,广西壮族自治区,2025,,,
450000000000,广西壮族自治区,2024,5013.0,2877.0,2136.0
450000000000,广西壮族自治区,2023,5027.0,2854.0,2173.0
450000000000,广西壮族自治区,2022,5047.0,2809.0,2238.0
450000000000,广西壮族自治区,2021,5037.0,2774.0,2263.0
450000000000,广西壮族自治区,2020,5019.0,2720.0,2299.0
450000000000,广西壮族自治区,2019,4982.0,2639.0,2343.0
450000000000,广西壮族自治区,2018,4947.0,2564.0,2383.0
450000000000,广西壮族自治区,2017,4907.0,2482.0,2425.0
450000000000,广西壮族自治区,2016,4857.0,2392.0,2465.0
460000000000,海南省,2025,,,
460000000000,海南省,2024,1048.0,661.0,387.0
460000000000,海南省,2023,1043.0,651.0,392.0
460000000000,海南省,2022,1027.0,631.0,396.0
460000000000,海南省,2021,1020.0,622.0,398.0
460000000000,海南省,2020,1012.0,610.0,402.0
460000000000,海南省,2019,995.0,591.0,404.0
460000000000,海南省,2018,982.0,581.0,401.0
460000000000,海南省,2017,972.0,564.0,408.0
460000000000,海南省,2016,957.0,543.0,414.0
500000000000,重庆市,2025,,,
500000000000,重庆市,2024,3190.0,2301.0,889.0
500000000000,重庆市,2023,3191.0,2287.0,904.0
500000000000,重庆市,2022,3213.0,2280.0,933.0
500000000000,重庆市,2021,3212.0,2259.0,953.0
500000000000,重庆市,2020,3209.0,2229.0,980.0
500000000000,重庆市,2019,3188.0,2175.0,1013.0
500000000000,重庆市,2018,3163.0,2107.0,1056.0
500000000000,重庆市,2017,3144.0,2044.0,1100.0
500000000000,重庆市,2016,3110.0,1970.0,1140.0
510000000000,四川省,2025,,,
510000000000,四川省,2024,8364.0,5027.0,3337.0
510000000000,四川省,2023,8368.0,4978.0,3390.0
510000000000,四川省,2022,8374.0,4886.0,3488.0
510000000000,四川省,2021,8372.0,4841.0,3531.0
510000000000,四川省,2020,8371.0,4749.0,3622.0
510000000000,四川省,2019,8351.0,4623.0,3728.0
510000000000,四川省,2018,8321.0,4452.0,3869.0
510000000000,四川省,2017,8289.0,4292.0,3997.0
510000000000,四川省,2016,8251.0,4126.0,4126.0
520000000000,贵州省,2025,,,
520000000000,贵州省,2024,3860.0,2187.0,1673.0
520000000000,贵州省,2023,3865.0,2162.0,1703.0
520000000000,贵州省,2022,3856.0,2114.0,1742.0
520000000000,贵州省,2021,3852.0,2093.0,1759.0
520000000000,贵州省,2020,3858.0,2051.0,1807.0
520000000000,贵州省,2019,3848.0,1981.0,1867.0
520000000000,贵州省,2018,3822.0,1893.0,1929.0
520000000000,贵州省,2017,3803.0,1816.0,1987.0
520000000000,贵州省,2016,3758.0,1712.0,2046.0
530000000000,云南省,2025,,,
530000000000,云南省,2024,4655.0,2519.0,2136.0
530000000000,云南省,2023,4673.0,2473.0,2200.0
530000000000,云南省,2022,4693.0,2427.0,2266.0
530000000000,云南省,2021,4690.0,2394.0,2296.0
530000000000,云南省,2020,4722.0,2363.0,2359.0
530000000000,云南省,2019,4714.0,2294.0,2420.0
530000000000,云南省,2018,4703.0,2231.0,2472.0
530000000000,云南省,2017,4693.0,2172.0,2521.0
530000000000,云南省,2016,4677.0,2088.0,2589.0
540000000000,西藏自治区,2025,,,
540000000000,西藏自治区,2024,370.0,147.0,223.0
540000000000,西藏自治区,2023,365.0,142.0,223.0
540000000000,西藏自治区,2022,364.0,136.0,228.0
540000000000,西藏自治区,2021,366.0,134.0,232.0
540000000000,西藏自治区,2020,366.0,131.0,235.0
540000000000,西藏自治区,2019,361.0,125.0,236.0
540000000000,西藏自治区,2018,354.0,120.0,234.0
540000000000,西藏自治区,2017,349.0,116.0,233.0
540000000000,西藏自治区,2016,340.0,107.0,233.0
610000000000,陕西省,2025,,,
610000000000,陕西省,2024,3953.0,2615.0,1338.0
610000000000,陕西省,2023,3952.0,2575.0,1377.0
610000000000,陕西省,2022,3956.0,2532.0,1424.0
610000000000,陕西省,2021,3954.0,2516.0,1438.0
610000000000,陕西省,2020,3955.0,2478.0,1477.0
610000000000,陕西省,2019,3944.0,2417.0,1527.0
610000000000,陕西省,2018,3931.0,2345.0,1586.0
610000000000,陕西省,2017,3904.0,2267.0,1637.0
610000000000,陕西省,2016,3874.0,2185.0,1689.0
620000000000,甘肃省,2025,,,
620000000000,甘肃省,2024,2458.0,1397.0,1061.0
620000000000,甘肃省,2023,2465.0,1368.0,1097.0
620000000000,甘肃省,2022,2492.0,1351.0,1141.0
620000000000,甘肃省,2021,2490.0,1328.0,1162.0
620000000000,甘肃省,2020,2501.0,1306.0,1195.0
620000000000,甘肃省,2019,2509.0,1272.0,1237.0
620000000000,甘肃省,2018,2515.0,1250.0,1265.0
620000000000,甘肃省,2017,2522.0,1214.0,1308.0
620000000000,甘肃省,2016,2520.0,1161.0,1359.0
630000000000,青海省,2025,,,
630000000000,青海省,2024,593.0,379.0,214.0
630000000000,青海省,2023,594.0,373.0,221.0
630000000000,青海省,2022,595.0,366.0,229.0
630000000000,青海省,2021,594.0,362.0,232.0
630000000000,青海省,2020,593.0,356.0,237.0
630000000000,青海省,2019,590.0,347.0,243.0
630000000000,青海省,2018,587.0,336.0,251.0
630000000000,青海省,2017,586.0,325.0,261.0
630000000000,青海省,2016,582.0,312.0,270.0
640000000000,宁夏回族自治区,2025,,,
640000000000,宁夏回族自治区,2024,729.0,497.0,232.0
640000000000,宁夏回族自治区,2023,729.0,491.0,238.0
640000000000,宁夏回族自治区,2022,728.0,483.0,245.0
640000000000,宁夏回族自治区,2021,725.0,479.0,246.0
640000000000,宁夏回族自治区,2020,721.0,468.0,253.0
640000000000,宁夏回族自治区,2019,717.0,456.0,261.0
640000000000,宁夏回族自治区,2018,710.0,441.0,269.0
640000000000,宁夏回族自治区,2017,705.0,430.0,275.0
640000000000,宁夏回族自治区,2016,695.0,408.0,287.0
650000000000,新疆维吾尔自治区,2025,,,
650000000000,新疆维吾尔自治区,2024,2623.0,1583.0,1040.0
650000000000,新疆维吾尔自治区,2023,2598.0,1539.0,1059.0
650000000000,新疆维吾尔自治区,2022,2587.0,1498.0,1089.0
650000000000,新疆维吾尔自治区,2021,2589.0,1482.0,1107.0
650000000000,新疆维吾尔自治区,2020,2590.0,1464.0,1126.0
650000000000,新疆维吾尔自治区,2019,2559.0,1421.0,1138.0
650000000000,新疆维吾尔自治区,2018,2520.0,1361.0,1159.0
650000000000,新疆维吾尔自治区,2017,2480.0,1287.0,1193.0
650000000000,新疆维吾尔自治区,2016,2428.0,1224.0,1204.0
