省辖市代码,省份,年份,固定长途电话交换机容量 (万路端),局用交换机容量 (万门),移动电话交换机容量 (万户),光缆线路长度 (公里),长途光缆线路长度 (万公里)
110000000000,北京市,2025,,,,,
110000000000,北京市,2024,,,9230.0,593995.11,0.46
110000000000,北京市,2023,,,10750.0,528411.0,0.44
110000000000,北京市,2022,,,10750.0,492356.91,0.43
110000000000,北京市,2021,,,10750.0,471874.69,0.41
110000000000,北京市,2020,,1101.29,9340.0,440119.33,0.42
110000000000,北京市,2019,6.7,1129.42,8295.0,391947.28,0.43
110000000000,北京市,2018,37.68,1149.9,6540.0,377020.03,0.42
110000000000,北京市,2017,45.83,1238.07,5850.0,356820.0,0.46
110000000000,北京市,2016,45.83,1233.27,5230.0,306658.0,0.45
120000000000,天津市,2025,,,,,
120000000000,天津市,2024,,,3366.0,403962.62,0.49
120000000000,天津市,2023,,,3366.0,373817.0,0.47
120000000000,天津市,2022,,,3216.0,346988.59,0.44
120000000000,天津市,2021,,,3036.0,325075.68,0.4
120000000000,天津市,2020,,433.02,3036.0,376891.73,0.46
120000000000,天津市,2019,,429.78,3036.0,362060.14,0.43
120000000000,天津市,2018,9.55,421.79,3456.0,238077.27,0.41
120000000000,天津市,2017,10.59,453.05,3350.0,204693.36,0.41
120000000000,天津市,2016,11.78,476.11,2585.0,183854.36,0.38
130000000000,河北省,2025,,,,,
130000000000,河北省,2024,,,16207.8,2882317.31,4.87
130000000000,河北省,2023,,,15609.7,2728695.0,3.9
130000000000,河北省,2022,,,15609.67,2502431.07,3.84
130000000000,河北省,2021,,,15549.67,2300353.75,3.74
130000000000,河北省,2020,,855.2,15592.5,2230109.96,3.74
130000000000,河北省,2019,5.64,855.45,14610.2,2184222.38,3.71
130000000000,河北省,2018,11.28,891.91,14637.0,2119472.28,3.51
130000000000,河北省,2017,25.44,1016.58,13981.0,1714466.33,3.82
130000000000,河北省,2016,25.44,1219.37,11930.66,1179975.77,3.7
140000000000,山西省,2025,,,,,
140000000000,山西省,2024,,,7251.2,2425223.07,3.66
140000000000,山西省,2023,,,7251.2,1650832.0,3.56
140000000000,山西省,2022,,,7251.2,1588532.31,3.37
140000000000,山西省,2021,,,7699.2,1476041.23,3.27
140000000000,山西省,2020,,249.02,7699.2,1319318.6,3.22
140000000000,山西省,2019,11.59,254.29,7359.2,1278772.4,3.11
140000000000,山西省,2018,17.61,267.58,6090.83,1194827.86,3.01
140000000000,山西省,2017,21.52,432.04,5562.5,1069757.59,3.24
140000000000,山西省,2016,21.52,470.78,5096.49,904757.68,3.16
150000000000,内蒙古自治区,2025,,,,,
150000000000,内蒙古自治区,2024,,,5622.02,2035996.83,7.93
150000000000,内蒙古自治区,2023,,,5863.0,1688029.0,7.53
150000000000,内蒙古自治区,2022,,,5863.0,1703900.52,7.2
150000000000,内蒙古自治区,2021,,,6049.7,1577827.52,6.81
150000000000,内蒙古自治区,2020,,178.63,6136.3,1538618.78,7.08
150000000000,内蒙古自治区,2019,,176.03,6136.3,1309859.3,7.64
150000000000,内蒙古自治区,2018,,181.45,5969.0,876328.05,7.51
150000000000,内蒙古自治区,2017,4.59,238.09,6083.3,985570.99,7.79
150000000000,内蒙古自治区,2016,10.08,327.35,6294.1,586203.2,7.75
210000000000,辽宁省,2025,,,,,
210000000000,辽宁省,2024,,,6834.3,1873761.79,2.13
210000000000,辽宁省,2023,,,6478.6,1831541.0,2.3
210000000000,辽宁省,2022,,,6813.17,1795198.0,2.4
210000000000,辽宁省,2021,,,6795.17,1743545.15,2.35
210000000000,辽宁省,2020,,282.32,6795.17,1644879.1,2.31
210000000000,辽宁省,2019,,373.85,6499.17,1499785.84,2.33
210000000000,辽宁省,2018,11.28,429.36,6499.17,1354702.85,2.19
210000000000,辽宁省,2017,23.36,1030.45,6499.17,1174385.38,2.5
210000000000,辽宁省,2016,23.36,1310.95,6775.17,1035313.88,2.41
220000000000,吉林省,2025,,,,,
220000000000,吉林省,2024,,,4223.0,979104.7,2.69
220000000000,吉林省,2023,,,4183.0,872212.0,2.64
220000000000,吉林省,2022,,,4183.0,856284.8,2.68
220000000000,吉林省,2021,,,5143.0,846889.31,2.66
220000000000,吉林省,2020,,272.29,5143.0,909122.88,2.67
220000000000,吉林省,2019,10.26,244.85,5244.0,791001.83,2.64
220000000000,吉林省,2018,10.26,255.95,5244.0,872629.18,3.37
220000000000,吉林省,2017,8.63,413.4,5103.5,429755.0,2.34
220000000000,吉林省,2016,8.63,485.18,3851.5,411279.0,2.34
230000000000,黑龙江省,2025,,,,,
230000000000,黑龙江省,2024,,,6812.97,1434210.48,5.54
230000000000,黑龙江省,2023,,,7213.0,1361903.0,5.51
230000000000,黑龙江省,2022,,,8092.97,1296066.8,5.25
230000000000,黑龙江省,2021,,,8661.76,1166000.74,5.1
230000000000,黑龙江省,2020,,477.31,9117.76,1499729.54,5.18
230000000000,黑龙江省,2019,,535.4,9079.36,1274097.93,5.02
230000000000,黑龙江省,2018,23.47,608.88,9067.36,1063840.16,5.02
230000000000,黑龙江省,2017,26.21,4525.28,8850.86,1083490.0,5.38
230000000000,黑龙江省,2016,27.85,4899.88,8546.86,615654.0,5.02
310000000000,上海市,2025,,,,,
310000000000,上海市,2024,,,7099.0,821972.89,0.5
310000000000,上海市,2023,,,7099.0,786850.0,0.48
310000000000,上海市,2022,,,7099.0,755082.68,0.47
310000000000,上海市,2021,,,7099.0,713201.79,0.48
310000000000,上海市,2020,,167.93,6464.0,697996.85,0.5
310000000000,上海市,2019,35.78,168.05,6548.0,672080.16,0.42
310000000000,上海市,2018,35.78,480.06,6548.0,617610.83,0.4
310000000000,上海市,2017,46.35,550.7,5044.0,582873.96,0.53
310000000000,上海市,2016,46.35,991.0,4424.0,532551.25,0.56
320000000000,江苏省,2025,,,,,
320000000000,江苏省,2024,,,22014.08,4808436.27,4.54
320000000000,江苏省,2023,,,21969.1,4508664.0,4.23
320000000000,江苏省,2022,,,22838.08,4257821.08,4.1
320000000000,江苏省,2021,,,22838.08,4158883.29,3.96
320000000000,江苏省,2020,,65.27,22838.08,3990069.02,4.04
320000000000,江苏省,2019,,65.94,22838.08,3679239.34,3.91
320000000000,江苏省,2018,12.25,72.98,19333.74,3511780.79,3.74
320000000000,江苏省,2017,21.18,168.2,10643.72,3248411.28,4.31
320000000000,江苏省,2016,37.56,698.07,10863.08,2939497.74,3.91
330000000000,浙江省,2025,,,,,
330000000000,浙江省,2024,,,16147.0,4469702.46,3.31
330000000000,浙江省,2023,,,15009.0,4420720.0,3.24
330000000000,浙江省,2022,,,14907.77,4059812.36,2.99
330000000000,浙江省,2021,,,15413.68,3714745.41,2.8
330000000000,浙江省,2020,,228.34,15414.25,3497879.24,2.7
330000000000,浙江省,2019,,243.42,15414.27,3265293.21,2.66
330000000000,浙江省,2018,66.79,375.66,16201.97,3021204.53,2.68
330000000000,浙江省,2017,78.36,478.77,15234.67,2776879.0,2.77
330000000000,浙江省,2016,85.15,504.34,11698.66,2287947.0,2.63
340000000000,安徽省,2025,,,,,
340000000000,安徽省,2024,,,9300.4,3025871.5,4.09
340000000000,安徽省,2023,,,11181.3,2857668.0,4.15
340000000000,安徽省,2022,,,8224.3,2699968.93,3.94
340000000000,安徽省,2021,,,8224.3,2525823.24,3.92
340000000000,安徽省,2020,,54.9,8224.3,2371260.74,3.56
340000000000,安徽省,2019,,55.34,8224.3,2252491.55,3.53
340000000000,安徽省,2018,,106.92,8224.3,2161095.44,3.53
340000000000,安徽省,2017,1.76,166.68,8563.2,1799590.59,3.89
340000000000,安徽省,2016,5.37,203.06,8407.84,1360127.03,3.22
350000000000,福建省,2025,,,,,
350000000000,福建省,2024,,,7158.0,1902287.68,3.21
350000000000,福建省,2023,,,7817.5,1825282.0,3.12
350000000000,福建省,2022,,,7817.5,1748522.97,2.69
350000000000,福建省,2021,,,8861.6,1683408.58,2.62
350000000000,福建省,2020,,67.71,8861.6,1548884.49,2.5
350000000000,福建省,2019,,89.82,8636.8,1556751.07,2.47
350000000000,福建省,2018,,249.57,7417.6,1547783.55,2.35
350000000000,福建省,2017,4.13,280.2,7263.6,1270629.29,2.53
350000000000,福建省,2016,9.51,399.7,7963.6,1025648.29,2.43
360000000000,江西省,2025,,,,,
360000000000,江西省,2024,,,6718.0,2689399.17,2.98
360000000000,江西省,2023,,,6718.0,2561057.0,2.96
360000000000,江西省,2022,,,6718.0,2399610.44,2.76
360000000000,江西省,2021,,,6718.0,2338700.56,3.35
360000000000,江西省,2020,,98.65,7285.89,2146725.13,3.34
360000000000,江西省,2019,15.26,41.88,7285.89,1879451.11,3.15
360000000000,江西省,2018,8.35,346.71,6484.89,1772864.8,2.84
360000000000,江西省,2017,20.67,408.42,6125.89,1540826.04,2.54
360000000000,江西省,2016,20.75,467.45,4183.89,683454.04,2.15
370000000000,山东省,2025,,,,,
370000000000,山东省,2024,,,14352.38,4714714.14,3.54
370000000000,山东省,2023,,,14713.4,3717944.0,3.62
370000000000,山东省,2022,,,14692.38,2934077.47,3.56
370000000000,山东省,2021,,,14692.38,2749108.85,3.35
370000000000,山东省,2020,,292.45,13193.38,2630547.15,3.94
370000000000,山东省,2019,,283.5,12977.38,2414178.07,3.8
370000000000,山东省,2018,12.4,357.16,12870.38,2340000.13,3.64
370000000000,山东省,2017,19.08,822.03,13290.39,2096624.77,4.07
370000000000,山东省,2016,23.21,1138.25,12667.89,1766637.86,3.91
410000000000,河南省,2025,,,,,
410000000000,河南省,2024,,,13034.0,2483209.57,4.29
410000000000,河南省,2023,,,12919.5,2426681.0,4.25
410000000000,河南省,2022,,,14950.76,2376180.45,4.05
410000000000,河南省,2021,,,15761.76,2009504.48,3.93
410000000000,河南省,2020,,575.17,14094.16,1764804.92,3.59
410000000000,河南省,2019,,610.13,14004.76,1761147.41,3.5
410000000000,河南省,2018,,774.19,12115.5,1768718.25,3.41
410000000000,河南省,2017,18.8,877.71,12239.0,1751132.61,3.46
410000000000,河南省,2016,18.8,901.07,12357.0,1738627.04,3.25
420000000000,湖北省,2025,,,,,
420000000000,湖北省,2024,,,10651.17,3270993.47,3.75
420000000000,湖北省,2023,,,13282.0,2514594.0,3.59
420000000000,湖北省,2022,,,13282.04,2326705.41,3.57
420000000000,湖北省,2021,,,8690.04,2184267.04,3.41
420000000000,湖北省,2020,,45.01,8592.3,1980710.14,3.21
420000000000,湖北省,2019,,46.68,8712.3,1780905.28,3.08
420000000000,湖北省,2018,,322.12,8502.3,1592658.85,2.91
420000000000,湖北省,2017,3.55,408.4,8833.5,1421350.44,3.23
420000000000,湖北省,2016,7.43,491.66,8748.7,1223699.79,3.24
430000000000,湖南省,2025,,,,,
430000000000,湖南省,2024,,,8967.0,3413071.13,4.72
430000000000,湖南省,2023,,,10436.6,3171735.0,4.62
430000000000,湖南省,2022,,,10695.0,2817432.96,4.22
430000000000,湖南省,2021,,,10695.0,2352262.28,4.1
430000000000,湖南省,2020,,68.04,10695.0,2143013.82,4.27
430000000000,湖南省,2019,,83.07,10165.0,2030592.97,4.32
430000000000,湖南省,2018,36.4,310.94,10123.0,2001617.23,4.18
430000000000,湖南省,2017,40.97,452.91,9803.0,1898039.0,4.97
430000000000,湖南省,2016,40.97,477.58,7257.48,1285322.52,4.15
440000000000,广东省,2025,,,,,
440000000000,广东省,2024,,,22979.33,4584336.2,6.82
440000000000,广东省,2023,,,24521.6,4101779.0,6.61
440000000000,广东省,2022,,,24521.58,3749664.81,6.21
440000000000,广东省,2021,,,23803.81,3483502.73,5.79
440000000000,广东省,2020,,390.04,23803.81,3223399.31,5.78
440000000000,广东省,2019,4.5,413.46,23803.81,2919314.73,5.83
440000000000,广东省,2018,25.8,473.81,23037.51,2588927.29,5.4
440000000000,广东省,2017,50.17,701.94,23037.51,2408413.54,5.52
440000000000,广东省,2016,58.11,1656.82,21982.3,2101665.08,5.81
450000000000,广西壮族自治区,2025,,,,,
450000000000,广西壮族自治区,2024,,,10645.0,2818566.43,4.62
450000000000,广西壮族自治区,2023,,,10677.0,2689019.0,4.54
450000000000,广西壮族自治区,2022,,,9381.0,2604738.77,4.57
450000000000,广西壮族自治区,2021,,,11187.0,2430511.82,4.37
450000000000,广西壮族自治区,2020,,22.62,12012.0,2206241.46,4.15
450000000000,广西壮族自治区,2019,13.2,22.64,11662.0,1758471.84,4.03
450000000000,广西壮族自治区,2018,23.55,912.19,12582.0,1340275.58,3.97
450000000000,广西壮族自治区,2017,25.34,1034.19,11809.0,1093488.66,3.92
450000000000,广西壮族自治区,2016,27.96,1158.05,5191.13,889399.69,3.89
460000000000,海南省,2025,,,,,
460000000000,海南省,2024,,,1964.0,458324.79,0.11
460000000000,海南省,2023,,,1964.0,423739.0,0.29
460000000000,海南省,2022,,,1964.0,390014.14,0.29
460000000000,海南省,2021,,,1964.0,361365.14,0.29
460000000000,海南省,2020,,18.02,2559.0,322957.02,0.32
460000000000,海南省,2019,,18.66,2119.0,285184.8,0.32
460000000000,海南省,2018,,49.14,2119.0,255302.37,0.09
460000000000,海南省,2017,1.5,46.72,1684.0,233372.0,0.34
460000000000,海南省,2016,4.11,62.75,1612.4,200215.0,0.34
500000000000,重庆市,2025,,,,,
500000000000,重庆市,2024,,,3795.0,1770169.93,0.84
500000000000,重庆市,2023,,,5285.0,1642354.0,0.82
500000000000,重庆市,2022,,,5285.0,1498606.9,0.77
500000000000,重庆市,2021,,,5285.0,1415303.11,0.6
500000000000,重庆市,2020,,43.57,5285.0,1291877.8,0.61
500000000000,重庆市,2019,,111.81,4613.0,1201848.29,0.61
500000000000,重庆市,2018,,333.44,4099.0,1059427.09,0.62
500000000000,重庆市,2017,6.5,239.46,4099.0,930677.0,0.82
500000000000,重庆市,2016,6.5,241.49,4037.0,817013.0,0.83
510000000000,四川省,2025,,,,,
510000000000,四川省,2024,,,13395.61,5868752.58,6.46
510000000000,四川省,2023,,,16935.6,4499875.0,6.33
510000000000,四川省,2022,,,17563.96,4392609.19,6.41
510000000000,四川省,2021,,,16727.56,3748024.53,12.54
510000000000,四川省,2020,,188.1,16869.56,3535456.84,12.5
510000000000,四川省,2019,16.44,191.85,16869.56,3328646.0,12.24
510000000000,四川省,2018,16.44,598.79,16388.32,2775874.93,6.71
510000000000,四川省,2017,37.38,713.89,16388.32,2506089.66,6.76
510000000000,四川省,2016,37.38,751.68,16408.32,1897078.45,6.12
520000000000,贵州省,2025,,,,,
520000000000,贵州省,2024,,,5498.0,2173267.82,3.54
520000000000,贵州省,2023,,,5350.0,1973514.0,3.5
520000000000,贵州省,2022,,,6702.0,1724349.53,3.31
520000000000,贵州省,2021,,,6702.0,1346113.0,3.4
520000000000,贵州省,2020,,29.16,6702.0,1230460.21,3.55
520000000000,贵州省,2019,,28.72,6702.0,1150936.26,3.41
520000000000,贵州省,2018,,309.82,5605.0,1057248.03,3.5
520000000000,贵州省,2017,2.73,331.36,4908.0,866172.4,3.65
520000000000,贵州省,2016,2.73,373.61,4908.0,792205.4,3.65
530000000000,云南省,2025,,,,,
530000000000,云南省,2024,,,7873.25,3712752.09,5.6
530000000000,云南省,2023,,,7424.3,3085616.0,6.44
530000000000,云南省,2022,,,6193.95,2608607.15,6.44
530000000000,云南省,2021,,,6193.95,2371318.83,6.02
530000000000,云南省,2020,,494.66,6193.95,2222144.76,5.95
530000000000,云南省,2019,,499.01,8610.25,2002875.41,4.97
530000000000,云南省,2018,18.53,682.59,7627.65,1523855.41,4.81
530000000000,云南省,2017,19.9,684.16,6027.15,1088486.0,5.15
530000000000,云南省,2016,19.9,653.6,5759.45,914164.31,5.12
540000000000,西藏自治区,2025,,,,,
540000000000,西藏自治区,2024,,,3380.0,748019.67,3.79
540000000000,西藏自治区,2023,,,3380.0,367442.0,4.48
540000000000,西藏自治区,2022,,,2060.13,313625.78,4.4
540000000000,西藏自治区,2021,,,2390.0,271990.45,4.64
540000000000,西藏自治区,2020,,,2820.0,247669.0,4.06
540000000000,西藏自治区,2019,,,2820.0,201862.31,4.06
540000000000,西藏自治区,2018,,,2820.0,194143.18,3.54
540000000000,西藏自治区,2017,0.0,10.75,2820.0,162078.0,3.66
540000000000,西藏自治区,2016,1.29,10.45,2423.0,135365.0,3.57
610000000000,陕西省,2025,,,,,
610000000000,陕西省,2024,,,5205.28,2125174.67,3.32
610000000000,陕西省,2023,,,5071.3,2077741.0,5.84
610000000000,陕西省,2022,,,5071.28,1914413.73,4.95
610000000000,陕西省,2021,,,5071.28,1795682.41,4.1
610000000000,陕西省,2020,,95.5,5071.28,1695298.25,4.03
610000000000,陕西省,2019,,90.98,5105.48,1532139.28,3.26
610000000000,陕西省,2018,,219.55,5105.48,1215546.25,2.8
610000000000,陕西省,2017,10.08,275.58,5111.48,1086744.91,3.08
610000000000,陕西省,2016,19.83,402.36,5111.48,895886.31,2.99
620000000000,甘肃省,2025,,,,,
620000000000,甘肃省,2024,,,4949.08,1703125.57,4.35
620000000000,甘肃省,2023,,,5009.1,1171319.0,4.4
620000000000,甘肃省,2022,,,5009.08,1111283.95,4.1
620000000000,甘肃省,2021,,,4802.68,1042649.0,4.05
620000000000,甘肃省,2020,,,5549.6,938821.33,4.0
620000000000,甘肃省,2019,,,5724.6,887835.62,3.74
620000000000,甘肃省,2018,4.3,16.94,5465.1,826956.31,3.61
620000000000,甘肃省,2017,5.75,76.28,5227.0,725924.26,3.58
620000000000,甘肃省,2016,7.2,116.51,3128.0,598208.06,3.34
630000000000,青海省,2025,,,,,
630000000000,青海省,2024,,,831.0,517733.59,4.44
630000000000,青海省,2023,,,927.0,480753.0,4.2
630000000000,青海省,2022,,,927.0,419917.47,4.19
630000000000,青海省,2021,,,927.0,369995.68,3.63
630000000000,青海省,2020,,10.0,927.0,375296.45,4.36
630000000000,青海省,2019,,10.0,927.0,324874.24,4.11
630000000000,青海省,2018,6.72,7.6,927.0,288658.56,4.03
630000000000,青海省,2017,11.01,21.34,927.0,210368.46,4.27
630000000000,青海省,2016,13.13,22.22,1308.0,179708.46,4.25
640000000000,宁夏回族自治区,2025,,,,,
640000000000,宁夏回族自治区,2024,,,1343.0,387865.79,1.11
640000000000,宁夏回族自治区,2023,,,1343.0,333735.0,1.06
640000000000,宁夏回族自治区,2022,,,1503.0,314192.48,1.02
640000000000,宁夏回族自治区,2021,,,1503.0,293839.04,1.09
640000000000,宁夏回族自治区,2020,,2.42,1633.0,269377.58,1.05
640000000000,宁夏回族自治区,2019,,2.21,1583.0,240151.94,0.96
640000000000,宁夏回族自治区,2018,4.0,64.27,1583.0,223070.71,1.12
640000000000,宁夏回族自治区,2017,4.78,82.2,1451.0,198616.98,1.1
640000000000,宁夏回族自治区,2016,5.99,90.55,1414.0,161376.0,1.09
650000000000,新疆维吾尔自治区,2025,,,,,
650000000000,新疆维吾尔自治区,2024,,,4780.41,1783974.2,5.05
650000000000,新疆维吾尔自治区,2023,,,5710.4,1644421.0,4.88
650000000000,新疆维吾尔自治区,2022,,,6008.25,1581034.23,4.88
650000000000,新疆维吾尔自治区,2021,,,6455.16,1540423.46,4.93
650000000000,新疆维吾尔自治区,2020,,117.18,6618.03,1402369.98,4.71
650000000000,新疆维吾尔自治区,2019,,113.5,6918.03,1194424.33,4.78
650000000000,新疆维吾尔自治区,2018,,169.15,6769.03,1386370.59,4.09
650000000000,新疆维吾尔自治区,2017,2.79,217.88,6375.03,885342.89,4.42
650000000000,新疆维吾尔自治区,2016,2.79,204.46,6375.03,771263.84,3.76
